,gray,other,PSNR,mse,ssim
35,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Median Filter Images/anonymus 00001_Frame_19.png,34.028247709791,25.71908950805664,0.8212109128047508
36,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Median Filter Images/anonymus 00001_Frame_2.png,33.898463028153415,26.499279022216797,0.8066209279534107
37,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Median Filter Images/anonymus 00001_Frame_4.png,33.69164139285972,27.791770935058594,0.7975435888551607
38,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Median Filter Images/anonymus 00001_Frame_8.png,33.94447147817732,26.22003173828125,0.8148890381024367
39,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Median Filter Images/anonymus 00001_Frame_9.png,33.78581251012214,27.195629119873047,0.8056595014943925
40,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_1.png,59.73030885258111,0.06919097900390625,0.998309140843344
41,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_13.png,58.3720362715422,0.09459686279296875,0.9978114971848623
42,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_14.png,58.61829458788796,0.08938217163085938,0.9978752526858825
43,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_15.png,58.59058064534072,0.08995437622070312,0.9979102170838438
44,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_18.png,59.70643071447092,0.06957244873046875,0.998229263037087
45,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_19.png,60.21435577347165,0.061893463134765625,0.9984693142015617
46,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_2.png,59.10685087350977,0.07987213134765625,0.998032050111756
47,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_4.png,58.217547592209854,0.0980224609375,0.9977771491335229
48,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_8.png,58.79283376337617,0.0858612060546875,0.9979652724956362
49,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Non-Local Means Filter Images/anonymus 00001_Frame_9.png,58.614218792604646,0.08946609497070312,0.9979802510922976
50,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_1.png,34.092343260027256,25.342300415039062,0.8142253731564854
51,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_13.png,33.69376287891522,27.7781982421875,0.7995041407859067
52,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_14.png,33.635937576992426,28.150531768798828,0.8024097592182411
53,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_15.png,33.70874709958453,27.68252182006836,0.8040081497413972
54,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_18.png,33.80572587420243,27.071216583251953,0.8072989028955638
55,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_19.png,34.02781099625066,25.721675872802734,0.8208941008973331
56,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_2.png,33.89810230990918,26.501480102539062,0.8061514496317845
